nome,latitude,longitude,total_animales_recebidos,n_guias,empresa
EST. LA NOVIA,-22.94514,-57.79661,70.0,1,JULIANO BARBOZA MACHADO
EST. SANTA CLARA,-23.47478,-56.23764,10215.0,230,RURAL BIOENERGIA S.A
EST. ÑA KUKA,-22.44555,-56.85639,57.0,2,AGROGANADERA SIETE CABRILLAS S.A
ESTANCIA CERRO MEMBY,-22.94822,-56.46894,1809.0,47,RURAL BIOENERGIA S.A
ESTANCIA CIELO AZUL,-22.77194,-56.99472,5561.0,119,CHACOBRAS SA
ESTANCIA LUSIPAR,-23.4332,-56.30597,16615.0,355,RURAL BIOENERGIA S.A
ESTANCIA YBY PORA,-23.2298,-56.35336,4312.0,79,RURAL BIOENERGIA S.A
ESTANCIA YPOTI,-23.33278,-56.71,34751.0,712,CHACOBRAS SA
ESTANCIA YPOTI 2,-23.33278,-56.71,5565.0,107,RURAL BIOENERGIA S.A
FRIGORIFICO BELEN,-23.478056,-57.264778,3369.0,86,BEEF PARAGUAY S.A
FRIGORIFICO CONCEPCION S.A.,-23.4543896,-57.4383888,22857.0,550,FRIGORIFICO CONCEPCION S.A.
GANADERA R.D.S.A,-25.60417,-56.90697,30.0,1,GANADERA R.D.S.A
GRANJA OLIMPIA,-22.8530273,-56.4114151,60.0,1,PEDRO DELGADO CABALLERO
GY7 DE JULIO,-23.1733055,-56.828083,66.0,3,ROSALIA BOGARIN BENITEZ
RANCHO LEON,-22.24361,-58.25222,50.0,1,VIVAR S.A.
SANTA MARIA,-22.73028,-57.46,8617.0,151,RURAL BIOENERGIA S.A
